,Set,Price_Euro,Pieces,Minifigs
17,Olaf,14.61,122,
18,Underwater Loop,29.23,389,2
19,Andrea's Heart Box,7.99,84,1
20,Emma's Heart Box,7.99,85,1
21,Stephanie's Heart Box,7.99,85,1
22,Olivia's Heart Box,7.99,85,2
23,Mia's Heart Box,7.99,83,1
24,Heart Box Friendship Pack,19.99,199,2
0,Emma's Mobile Veterinary Clinic ,9.74,50,1
1,Mia's Foal Stable ,19.49,118,1
2,Heartlake City Supermarket,29.23,140,2
3,Mia's Forest Adventure,14.99,134,1
4,Stephanie's Buggy & Trailer ,19.99,166,1
5,Emma's Art Studio,24.99,235,2
6,Olivia's Cupcake Cafe,29.23,335,2
7,Stephanie's Horse Jumping,38.98,337,2
8,Andrea's Talent Show,49.99,492,2
9,Mia's House,68.23,715,3
10,Mia's Horse Trailer,29.23,216,2
11,Stephanie's Gymnastics Show,29.23,241,2
12,Funny Octopus Ride,38.98,324,2
13,Andrea's Pool Party,48.73,468,2
14,Heartlake City Amusement Pier,126.71,1251,7
15,Turtles Rescue Mission,19.49,225,2
16,Dolphins Rescue Mission,38.98,363,2
17,Heartlake City Restaurant,58.48,624,3
18,Lighthouse Rescue Centre,58.48,602,2
19,Rescue Mission Boat,87.72,908,4
20,LEGO Friends Advent Calendar,24.99,330,3
21,Olivia's Hamster Playground,9.74,81,1
22,Andrea's Summer Heart Box,7.99,83,1
23,Emma's Summer Heart Box,7.99,86,1
24,Stephanie's Summer Heart Box,7.99,95,1
0,Olivia's Summer Heart Box,7.99,93,2
1,Mia's Summer Heart Box,7.99,85,1
2,Emmet,,113,
3,Wyldstyle,,134,
4,Benny,,103,
5,Sweet Mayhem,,137,
6,Cherry Picker,9.74,155,
7,Power Boat,14.99,174,
8,Getaway Truck,19.99,128,
9,Police Pursuit,19.49,120,
10,Rescue Helicopter,29.99,325,
11,Chevrolet Corvette ZR1,39.99,579,
12,Tracked Loader,59.99,827,
13,Remote-Controlled Stunt Racer,79.99,324,
14,Porsche 911 RSR,199.99,1580,
15,Compact Crawler Crane,87.72,920,
16,Car Transporter,149.99,2493,
17,4x4 X-Treme Off-Roader,229.99,958,
18,Liebherr R 9800,449.99,4108,
19,Land Rover Defender,199.99,2573,
20,Elsa's Ice Palace,69.99,701,7
21,City Shaper Challenge Kit,,2238,1
22,BOOMTOWN BUILD Inspire Set,,739,
23,BOOMTOWN BUILD Discovery Set,,78,4
24,Ski Resort,77.97,806,11
0,Jet Patrol,9.74,54,2
1,Sky Police Drone Chase,19.49,192,3
2,Parachute Arrest,29.23,218,4
3,Diamond Heist,49.99,400,4
4,Air Base,73.10,529,6
5,Barbecue Burn Out,9.74,64,2
6,Dock Side Fire,14.61,97,2
7,Burger Bar Fire Rescue,29.99,327,3
8,Fire Station,59.99,509,4
9,Downtown Fire Brigade,99.99,943,7
10,Fire Plane,38.98,363,3
11,Desert Rally Racer,9.99,75,1
12,Construction Loader,9.99,88,1
13,Garbage Truck,19.99,90,2
14,Diving Yacht,19.99,148,2
15,Snow Groomer,19.49,197,2
16,Harvester Transport,29.99,358,3
17,Satellite Service Mission,9.74,84,1
18,Rover Testing Drive,19.49,202,2
19,Mars Research Shuttle,29.99,273,2
20,Lunar Space Station,48.73,412,5
21,Deep Space Rocket and Launch Control,99.99,837,7
22,Rocket Assembly & Transport,129.99,1055,8
23,People Pack - Space Research and Development,38.98,209,15
24,Fire Chief Response Truck,19.49,201,2
